County Name,Census Tract,"Total Population, 2010","Persons per Square Mile, 2010","Total Housing Units, 2010","Occupied Housing Units, 2010","Vacant Housing Units, 2010","Occupancy Rate, percent, 2010","Vacancy Rate, percent, 2010","Land Area, Square Miles, 2010","Total Area, Square Miles, 2010","Water Area, percent, 2010"
King County,31400,5780,2347.24,2555,2413,142,94.44,5.56,2.46,2.46,0.02
King County,31501,3616,58.01,1468,1341,127,91.35,8.65,62.33,63.11,1.22
King County,31502,3876,9.78,1700,1580,120,92.94,7.06,396.31,399.69,0.85
King County,31601,5134,906.42,1901,1812,89,95.32,4.68,5.66,5.83,2.77
King County,31603,5728,264.9,2071,1945,126,93.92,6.08,21.62,22.21,2.65
King County,31604,4797,2990.32,1591,1524,67,95.79,4.21,1.6,1.61,0.08
King County,31605,3589,603.96,1381,1282,99,92.83,7.17,5.94,6.55,9.23
King County,31703,6649,2412.15,2745,2598,147,94.64,5.36,2.76,3.01,8.27
King County,31704,5539,2497.07,1868,1783,85,95.45,4.55,2.22,2.22,0.21
King County,31705,3744,1920.39,1299,1238,61,95.3,4.7,1.95,1.95,0.09
King County,31706,6310,3919.27,2178,2095,83,96.19,3.81,1.61,1.61,0.19
King County,31800,4777,498.02,1740,1685,55,96.84,3.16,9.59,10.88,11.82
King County,31903,6411,1414.73,2442,2316,126,94.84,5.16,4.53,4.53,0
King County,31904,3329,455.17,1237,1194,43,96.52,3.48,7.31,7.38,0.88
King County,31906,3594,860.13,1338,1260,78,94.17,5.83,4.18,4.38,4.6
King County,31907,7399,3460.65,2786,2694,92,96.7,3.3,2.14,2.14,0
King County,31908,4266,6047.24,1922,1846,76,96.05,3.95,0.71,0.71,0
King County,31909,3037,4105.19,1143,1094,49,95.71,4.29,0.74,0.74,0
King County,32002,2906,272.99,1168,1097,71,93.92,6.08,10.65,10.73,0.76
King County,32003,4754,100.79,1920,1784,136,92.92,7.08,47.17,47.29,0.25
King County,32005,6457,2655.31,2240,2136,104,95.36,4.64,2.43,2.48,1.92
King County,32006,4275,1454.78,1668,1582,86,94.84,5.16,2.94,2.99,1.64
King County,32007,3457,779.08,1324,1265,59,95.54,4.46,4.44,4.49,1.24
King County,32008,4090,4620.55,1505,1435,70,95.35,4.65,0.89,0.95,6.49
King County,32010,5175,2780.25,1971,1896,75,96.19,3.81,1.86,1.86,0
King County,32011,4117,3169.97,1346,1302,44,96.73,3.27,1.3,1.41,7.76
King County,32102,4546,148.96,1854,1758,96,94.82,5.18,30.52,30.55,0.11
King County,32103,4280,2736.07,2153,1982,171,92.06,7.94,1.56,1.56,0
King County,32104,6033,695.03,2577,2424,153,94.06,5.94,8.68,8.68,0
King County,32203,6638,1706.74,2478,2344,134,94.59,5.41,3.89,5.35,27.28
King County,32207,3254,1842.99,1196,1137,59,95.07,4.93,1.77,2.17,18.75
King County,32208,7936,1865.48,4062,3725,337,91.7,8.3,4.25,4.76,10.59
King County,32210,10572,655.04,4111,3864,247,93.99,6.01,16.14,16.15,0.04
King County,32211,4803,4180.53,1717,1663,54,96.85,3.15,1.15,1.15,0
King County,32212,7787,5980.85,2859,2777,82,97.13,2.87,1.3,1.32,1.25
King County,32213,4376,2739.38,1434,1388,46,96.79,3.21,1.6,1.71,6.48
King County,32214,6264,2427.44,1992,1952,40,97.99,2.01,2.58,2.6,0.66
King County,32215,4629,748.91,1376,1316,60,95.64,4.36,6.18,6.18,0.06
King County,32307,6368,1413.68,2247,2184,63,97.2,2.8,4.5,4.6,1.97
King County,32309,5212,2189.99,2928,2589,339,88.42,11.58,2.38,2.38,0
King County,32311,5837,643.8,2091,2001,90,95.7,4.3,9.07,9.1,0.39
King County,32313,5576,1103.02,2545,2392,153,93.99,6.01,5.06,5.22,3.22
King County,32315,5256,305.93,2011,1879,132,93.44,6.56,17.18,17.7,2.96
King County,32316,5495,2286.2,1857,1798,59,96.82,3.18,2.4,3.43,29.89
King County,32317,6038,3559.05,2185,2119,66,96.98,3.02,1.7,1.7,0
King County,32318,5646,1988.38,1936,1857,79,95.92,4.08,2.84,2.84,0
King County,32319,4703,1787.46,2698,2253,445,83.51,16.49,2.63,2.63,0
King County,32320,4205,1139.83,1474,1426,48,96.74,3.26,3.69,3.7,0.4
King County,32321,4959,1013.64,1689,1607,82,95.15,4.85,4.89,4.89,0
King County,32322,3344,1872.61,1149,1129,20,98.26,1.74,1.79,1.79,0
King County,32323,5483,4313.97,2155,2059,96,95.55,4.45,1.27,1.27,0
King County,32324,5053,6388.99,2222,2103,119,94.64,5.36,0.79,0.79,0
King County,32325,5791,6777.7,2495,2339,156,93.75,6.25,0.85,0.85,0
King County,32326,3762,931.47,1388,1334,54,96.11,3.89,4.04,4.04,0
King County,32327,3834,615.71,1910,1791,119,93.77,6.23,6.23,6.27,0.66
King County,32328,3245,988.25,1121,1080,41,96.34,3.66,3.28,3.28,0
King County,32329,6599,1767.59,2614,2362,252,90.36,9.64,3.73,3.73,0
King County,32401,5859,271.22,2149,2029,120,94.42,5.58,21.6,22.01,1.86
King County,32402,6010,619.28,2180,2081,99,95.46,4.54,9.7,9.95,2.47
King County,32500,5237,63.41,2052,1906,146,92.88,7.12,82.59,84.1,1.79
King County,32601,2785,117.63,1137,1057,80,92.96,7.04,23.68,24.1,1.76
King County,32602,11041,947.48,3872,3657,215,94.45,5.55,11.65,11.9,2.09
King County,32702,6545,33.18,2796,2405,391,86.02,13.98,197.28,202.11,2.39
King County,32703,2020,506.98,841,768,73,91.32,8.68,3.98,4.05,1.67
King County,32704,6014,907.66,2460,2319,141,94.27,5.73,6.63,6.8,2.54
King County,32800,2851,5.31,1701,1156,545,67.96,32.04,536.8,547.34,1.93
